campaign_id,total_impressions,total_clicks,total_conversions,total_spend,total_revenue,avg_ctr,avg_cpc,avg_bounce_rate,days_active,campaign_name,channel,region,campaign_type,target_audience,objective,start_date,end_date,total_budget,status,duration_days,daily_budget,start_quarter,start_year,budget_tier,roas,budget_utilization
CMP-0011,646618,13003,237,10595.44,35475.98,0.019436117647058822,0.9251235294117647,0.4892794117647059,34,Seasonal Promo - TikTok Ads - North America - Q2/2024,TikTok Ads,North America,Seasonal Promo,General B2B,Clicks,2024-04-18,2024-05-22,9796.66,Completed,34,288.14,2024Q2,2024,High (5K-15K),3.3482,1.0815
CMP-0012,99621,453,0,801.0,0.0,0.004348875,2.412566964285714,0.5024714285714286,112,Lead Generation - Organic Social - Europe - Q1/2023,Organic Social,Europe,Lead Generation,General B2B,Conversions,2023-02-27,2023-06-19,1833.5,Completed,112,16.37,2023Q1,2023,Medium (1K-5K),0.0,0.4369
CMP-0013,401950,14789,526,21721.9,64275.61,0.03454946341463415,1.7359560975609756,0.5087414634146341,41,Product Launch - Google Ads - Europe - Q3/2024,Google Ads,Europe,Product Launch,Marketing Managers,Impressions,2024-08-03,2024-09-13,21971.01,Completed,41,535.88,2024Q3,2024,Premium (>15K),2.959,0.9887
CMP-0014,49665,408,6,6943.47,298.97,0.00746703125,23.29925,0.52833125,32,Product Launch - LinkedIn Ads - LATAM - Q3/2023,LinkedIn Ads,LATAM,Product Launch,Developers,Sign-ups,2023-09-29,2023-10-31,7057.7,Completed,32,220.55,2023Q3,2023,High (5K-15K),0.0431,0.9838
CMP-0015,46672,203,0,546.22,0.0,0.004160147058823529,3.7295823529411765,0.5010014705882353,68,Retargeting - Organic Social - North America - Q3/2024,Organic Social,North America,Retargeting,General B2B,Demo Requests,2024-08-20,2024-10-27,3085.59,Completed,68,45.38,2024Q3,2024,Medium (1K-5K),0.0,0.177
CMP-0016,72123,987,24,1782.19,1960.8600000000001,0.012718879999999998,2.327168,0.4315,25,Lead Generation - Meta Ads - APAC - Q1/2025,Meta Ads,APAC,Lead Generation,Startup Founders,Sign-ups,2025-02-12,2025-03-09,1654.35,Active,25,66.17,2025Q1,2025,Medium (1K-5K),1.1003,1.0773
CMP-0017,221316,8043,325,9549.13,20190.14,0.033416933333333336,1.5131800000000002,0.5191766666666667,90,Lead Generation - Google Ads - LATAM - Q1/2023,Google Ads,LATAM,Lead Generation,General B2B,Sign-ups,2023-03-07,2023-06-05,9926.8,Completed,90,110.3,2023Q1,2023,High (5K-15K),2.1143,0.962
CMP-0018,959157,18829,280,18537.72,28846.65,0.0183634,1.2747266666666666,0.48915333333333333,15,Seasonal Promo - TikTok Ads - APAC - Q4/2024,TikTok Ads,APAC,Seasonal Promo,Marketing Managers,Demo Requests,2024-11-27,2024-12-12,18157.68,Completed,15,1210.51,2024Q4,2024,Premium (>15K),1.5561,1.0209
CMP-0019,19073,85,0,200.5,0.0,0.0042745,3.540882142857143,0.5354071428571429,28,Retargeting - Organic Social - Europe - Q4/2023,Organic Social,Europe,Retargeting,General B2B,Conversions,2023-10-28,2023-11-25,3345.52,Completed,28,119.48,2023Q4,2023,Medium (1K-5K),0.0,0.0599
CMP-0020,4359968,1020155,47342,12944.33,2559489.76,0.22009483333333335,0.015392307692307691,0.4925564102564103,78,Webinar/Event - Email Marketing - LATAM - Q3/2023,Email Marketing,LATAM,Webinar/Event,General B2B,Conversions,2023-07-02,2023-09-18,12938.2,Completed,78,165.87,2023Q3,2023,High (5K-15K),197.7306,1.0005
CMP-0021,72044,2559,46,4110.6,5131.83,0.0330593956043956,2.053712087912088,0.5013087912087912,91,Retargeting - Google Ads - Europe - Q3/2023,Google Ads,Europe,Retargeting,General B2B,Demo Requests,2023-07-23,2023-10-22,4244.56,Completed,91,46.64,2023Q3,2023,Medium (1K-5K),1.2484,0.9684
CMP-0022,46600,1262,16,398.23,958.14,0.02616869090909091,0.43263090909090907,0.5342981818181819,55,Seasonal Promo - Content/SEO - LATAM - Q2/2024,Content/SEO,LATAM,Seasonal Promo,Enterprise Decision Makers,Demo Requests,2024-05-15,2024-07-09,293.15,Completed,55,5.33,2024Q2,2024,Low (<1K),2.406,1.3585
CMP-0023,330602,2684,109,41521.5,14201.68,0.007699681818181817,18.648784090909093,0.5024090909090909,44,Retargeting - LinkedIn Ads - Europe - Q3/2024,LinkedIn Ads,Europe,Retargeting,SMB Owners,Impressions,2024-08-03,2024-09-16,42660.47,Completed,44,969.56,2024Q3,2024,Premium (>15K),0.342,0.9733
CMP-0024,200284,7342,244,11668.16,23880.79,0.033525200000000005,2.0702100000000003,0.4732866666666667,30,Brand Awareness - Google Ads - Europe - Q4/2024,Google Ads,Europe,Brand Awareness,Startup Founders,Clicks,2024-11-06,2024-12-06,12144.42,Completed,30,404.81,2024Q4,2024,High (5K-15K),2.0467,0.9608
CMP-0025,1064861,19675,285,18534.94,18406.6,0.01753568292682927,1.1236243902439025,0.4187975609756098,41,Seasonal Promo - TikTok Ads - LATAM - Q3/2024,TikTok Ads,LATAM,Seasonal Promo,Startup Founders,Sign-ups,2024-07-06,2024-08-16,19004.0,Completed,41,463.51,2024Q3,2024,Premium (>15K),0.9931,0.9753
CMP-0026,55403,250,0,528.65,0.0,0.004335242857142857,2.76375,0.5026171428571429,70,Retargeting - Organic Social - LATAM - Q2/2024,Organic Social,LATAM,Retargeting,Developers,Conversions,2024-06-13,2024-08-22,3468.42,Completed,70,49.55,2024Q2,2024,Medium (1K-5K),0.0,0.1524
CMP-0027,430860,5308,90,14457.33,5108.83,0.011510321428571429,3.388178571428571,0.5066821428571429,84,Retargeting - Meta Ads - LATAM - Q3/2023,Meta Ads,LATAM,Retargeting,Enterprise Decision Makers,Demo Requests,2023-08-24,2023-11-16,14916.78,Completed,84,177.58,2023Q3,2023,High (5K-15K),0.3534,0.9692
CMP-0028,457082,16026,653,20935.05,37372.6,0.033955318181818184,1.465272727272727,0.5348409090909091,22,Webinar/Event - Google Ads - LATAM - Q1/2023,Google Ads,LATAM,Webinar/Event,Enterprise Decision Makers,Clicks,2023-02-02,2023-02-24,21561.07,Completed,22,980.05,2023Q1,2023,Premium (>15K),1.7852,0.971
CMP-0029,72522,2628,84,3730.48,13144.11,0.03458246341463415,1.642629268292683,0.5048902439024391,41,Retargeting - Google Ads - North America - Q3/2024,Google Ads,North America,Retargeting,General B2B,Sign-ups,2024-07-06,2024-08-16,3741.64,Completed,41,91.26,2024Q3,2024,Medium (1K-5K),3.5234,0.997
CMP-0030,205335,3890,52,2836.79,7974.76,0.017662499999999998,0.9208026315789473,0.49364736842105267,38,Lead Generation - TikTok Ads - North America - Q2/2023,TikTok Ads,North America,Lead Generation,Developers,Sign-ups,2023-04-07,2023-05-15,2874.8,Completed,38,75.65,2023Q2,2023,Medium (1K-5K),2.8112,0.9868
CMP-0031,7987318,1864435,85249,24331.33,12410586.88,0.21748342999999998,0.016623000000000002,0.47882800000000003,100,Product Launch - Email Marketing - North America - Q4/2024,Email Marketing,North America,Product Launch,Developers,Impressions,2024-10-31,2025-02-08,24612.05,Completed,100,246.12,2024Q4,2024,Premium (>15K),510.0661,0.9886
CMP-0032,97055,3709,125,5258.14,6780.18,0.03538082222222222,1.8206777777777776,0.47337999999999997,45,Webinar/Event - Google Ads - LATAM - Q3/2023,Google Ads,LATAM,Webinar/Event,Marketing Managers,Impressions,2023-07-16,2023-08-30,5160.12,Completed,45,114.67,2023Q3,2023,High (5K-15K),1.2895,1.019
CMP-0033,5132716,1194184,65708,11384.58,3492657.62,0.2205358888888889,0.011306666666666668,0.4719711111111111,45,Lead Generation - Email Marketing - LATAM - Q1/2023,Email Marketing,LATAM,Lead Generation,Marketing Managers,Sign-ups,2023-03-19,2023-05-03,11356.7,Completed,45,252.37,2023Q1,2023,High (5K-15K),306.7884,1.0025
CMP-0034,13885,433,10,101.88,1192.67,0.029857533333333335,0.31006666666666666,0.5061933333333334,15,Brand Awareness - Content/SEO - Europe - Q2/2023,Content/SEO,Europe,Brand Awareness,Enterprise Decision Makers,Demo Requests,2023-04-06,2023-04-21,6958.8,Completed,15,463.92,2023Q2,2023,High (5K-15K),11.7066,0.0146
CMP-0035,35435,980,13,316.92,743.89,0.02678212195121951,0.37738780487804874,0.5180414634146341,41,Product Launch - Content/SEO - LATAM - Q1/2024,Content/SEO,LATAM,Product Launch,Developers,Sign-ups,2024-02-15,2024-03-27,6782.96,Completed,41,165.44,2024Q1,2024,High (5K-15K),2.3472,0.0467
CMP-0036,748987,9333,297,16658.92,42301.9,0.01134526,2.437702,0.47792999999999997,50,Product Launch - Meta Ads - North America - Q1/2024,Meta Ads,North America,Product Launch,Marketing Managers,Sign-ups,2024-03-09,2024-04-28,17566.49,Completed,50,351.33,2024Q1,2024,Premium (>15K),2.5393,0.9483
CMP-0037,24785,111,0,269.22,0.0,0.004309545454545455,3.1107333333333336,0.5518636363636364,33,Seasonal Promo - Organic Social - APAC - Q3/2023,Organic Social,APAC,Seasonal Promo,General B2B,Sign-ups,2023-07-14,2023-08-16,2330.8,Completed,33,70.63,2023Q3,2023,Medium (1K-5K),0.0,0.1155
CMP-0038,288114,10207,442,14005.03,78357.02,0.03305195238095238,1.741995238095238,0.5264238095238095,21,Seasonal Promo - Google Ads - North America - Q1/2023,Google Ads,North America,Seasonal Promo,Enterprise Decision Makers,Conversions,2023-02-21,2023-03-14,14812.35,Completed,21,705.35,2023Q1,2023,High (5K-15K),5.5949,0.9455
CMP-0039,1432547,27007,447,20852.75,37846.54,0.017542417721518988,0.9945860759493671,0.4909430379746836,79,Seasonal Promo - TikTok Ads - APAC - Q1/2023,TikTok Ads,APAC,Seasonal Promo,SMB Owners,Impressions,2023-03-24,2023-06-11,21357.89,Completed,79,270.35,2023Q1,2023,Premium (>15K),1.8149,0.9763
CMP-0040,105116,3815,126,6401.44,18924.58,0.03413279310344828,2.043313793103448,0.49517586206896547,29,Webinar/Event - Google Ads - North America - Q3/2024,Google Ads,North America,Webinar/Event,SMB Owners,Sign-ups,2024-08-06,2024-09-04,6532.28,Completed,29,225.25,2024Q3,2024,High (5K-15K),2.9563,0.98
CMP-0041,480192,9123,98,8058.95,5742.12,0.017470337209302324,1.1426232558139535,0.5095697674418604,86,Brand Awareness - TikTok Ads - LATAM - Q2/2024,TikTok Ads,LATAM,Brand Awareness,Developers,Demo Requests,2024-06-19,2024-09-13,8251.06,Completed,86,95.94,2024Q2,2024,High (5K-15K),0.7125,0.9767
CMP-0042,63952,534,13,6698.96,676.6600000000001,0.0076049148936170215,16.59388936170213,0.46495319148936165,47,Webinar/Event - LinkedIn Ads - LATAM - Q1/2024,LinkedIn Ads,LATAM,Webinar/Event,Marketing Managers,Clicks,2024-02-10,2024-03-28,6671.73,Completed,47,141.95,2024Q1,2024,High (5K-15K),0.101,1.0041
CMP-0043,48459,220,0,601.22,0.0,0.004332111111111111,3.567919444444444,0.5186291666666666,72,Retargeting - Organic Social - LATAM - Q3/2024,Organic Social,LATAM,Retargeting,Enterprise Decision Makers,Impressions,2024-09-28,2024-12-09,7488.64,Completed,72,104.01,2024Q3,2024,High (5K-15K),0.0,0.0803
CMP-0044,390638,13525,499,20206.38,27734.84,0.03198376666666667,1.9359166666666667,0.5078600000000001,30,Lead Generation - Google Ads - LATAM - Q4/2023,Google Ads,LATAM,Lead Generation,Startup Founders,Conversions,2023-12-24,2024-01-23,22081.17,Completed,30,736.04,2023Q4,2023,Premium (>15K),1.3726,0.9151
CMP-0045,532324,6999,160,15649.18,23625.38,0.01200628846153846,2.9895432692307695,0.5276798076923077,104,Lead Generation - Meta Ads - North America - Q4/2023,Meta Ads,North America,Lead Generation,Developers,Demo Requests,2023-11-06,2024-02-18,15486.11,Completed,104,148.9,2023Q4,2023,Premium (>15K),1.5097,1.0105
CMP-0046,37156,1068,11,419.05,1385.0,0.027655692307692308,0.4639807692307692,0.5244365384615385,52,Brand Awareness - Content/SEO - Europe - Q4/2024,Content/SEO,Europe,Brand Awareness,General B2B,Demo Requests,2024-11-10,2025-01-01,911.36,Completed,52,17.53,2024Q4,2024,Low (<1K),3.3051,0.4598
CMP-0047,202631,2496,47,7007.1,2526.0,0.011278333333333333,3.6357575757575757,0.5402333333333333,33,Brand Awareness - Meta Ads - LATAM - Q4/2023,Meta Ads,LATAM,Brand Awareness,General B2B,Demo Requests,2023-10-06,2023-11-08,7403.03,Completed,33,224.33,2023Q4,2023,High (5K-15K),0.3605,0.9465
CMP-0048,233613,2727,43,6214.31,4582.64,0.011035641025641026,2.7325987179487177,0.5123089743589743,78,Lead Generation - Meta Ads - Europe - Q2/2024,Meta Ads,Europe,Lead Generation,General B2B,Conversions,2024-05-15,2024-08-01,6652.47,Completed,78,85.29,2024Q2,2024,High (5K-15K),0.7374,0.9341
CMP-0049,14900,417,7,180.77,476.3,0.026892894736842105,0.5129368421052631,0.5241789473684211,19,Webinar/Event - Content/SEO - LATAM - Q1/2023,Content/SEO,LATAM,Webinar/Event,Developers,Conversions,2023-01-04,2023-01-23,2601.64,Completed,19,136.93,2023Q1,2023,Medium (1K-5K),2.6348,0.0695
CMP-0050,415084,5429,134,11094.98,21017.93,0.012007011904761904,2.7457249999999997,0.4953666666666666,84,Retargeting - Meta Ads - North America - Q4/2024,Meta Ads,North America,Retargeting,SMB Owners,Sign-ups,2024-12-23,2025-03-17,10978.33,Active,84,130.69,2024Q4,2024,High (5K-15K),1.8944,1.0106
CMP-0051,228320,7582,277,13295.7,18298.62,0.03145788888888889,2.0608555555555554,0.5044666666666667,18,Webinar/Event - Google Ads - LATAM - Q1/2024,Google Ads,LATAM,Webinar/Event,SMB Owners,Demo Requests,2024-01-14,2024-02-01,14771.48,Completed,18,820.64,2024Q1,2024,High (5K-15K),1.3763,0.9001
CMP-0052,877492,11008,304,21934.67,44320.64,0.011615782608695653,2.5712295652173913,0.5026643478260869,115,Brand Awareness - Meta Ads - North America - Q1/2023,Meta Ads,North America,Brand Awareness,Marketing Managers,Conversions,2023-02-10,2023-06-05,22523.65,Completed,115,195.86,2023Q1,2023,Premium (>15K),2.0206,0.9739
CMP-0053,707611,8679,172,21106.61,20879.26,0.011340300884955754,3.0748469026548673,0.49883274336283184,113,Webinar/Event - Meta Ads - Europe - Q3/2024,Meta Ads,Europe,Webinar/Event,Enterprise Decision Makers,Conversions,2024-07-27,2024-11-17,22161.3,Completed,113,196.12,2024Q3,2024,Premium (>15K),0.9892,0.9524
CMP-0054,7441248,1762760,84594,22141.74,7308728.58,0.22046514705882353,0.016379411764705882,0.5015823529411765,34,Webinar/Event - Email Marketing - APAC - Q3/2023,Email Marketing,APAC,Webinar/Event,SMB Owners,Clicks,2023-07-01,2023-08-04,22094.7,Completed,34,649.84,2023Q3,2023,Premium (>15K),330.0883,1.0021
CMP-0055,367427,12972,504,18547.97,28688.4,0.03274091666666667,1.8109020833333334,0.46977291666666665,48,Retargeting - Google Ads - LATAM - Q2/2023,Google Ads,LATAM,Retargeting,Developers,Clicks,2023-06-13,2023-07-31,19790.68,Completed,48,412.31,2023Q2,2023,Premium (>15K),1.5467,0.9372
CMP-0056,210564,7885,345,8958.18,49309.479999999996,0.03447520512820513,1.4937102564102565,0.4977974358974359,39,Brand Awareness - Google Ads - North America - Q2/2024,Google Ads,North America,Brand Awareness,Developers,Clicks,2024-04-16,2024-05-25,9066.63,Completed,39,232.48,2024Q2,2024,High (5K-15K),5.5044,0.988
CMP-0057,69803,1974,10,749.88,1415.82,0.027270887755102037,0.48322448979591837,0.5086602040816327,98,Lead Generation - Content/SEO - Europe - Q3/2023,Content/SEO,Europe,Lead Generation,SMB Owners,Impressions,2023-07-17,2023-10-23,3078.72,Completed,98,31.42,2023Q3,2023,Medium (1K-5K),1.8881,0.2436
CMP-0058,358515,3047,135,43082.409999999996,16016.57,0.007687984615384616,19.715898461538462,0.4884661538461538,65,Retargeting - LinkedIn Ads - Europe - Q4/2024,LinkedIn Ads,Europe,Retargeting,Marketing Managers,Demo Requests,2024-11-26,2025-01-30,44168.7,Completed,65,679.52,2024Q4,2024,Premium (>15K),0.3718,0.9754
CMP-0059,1287679,24654,346,23896.44,53804.25,0.01784388888888889,1.191136111111111,0.5259305555555556,36,Brand Awareness - TikTok Ads - North America - Q3/2024,TikTok Ads,North America,Brand Awareness,Enterprise Decision Makers,Conversions,2024-08-17,2024-09-22,24082.09,Completed,36,668.95,2024Q3,2024,Premium (>15K),2.2516,0.9923
CMP-0060,156432,1215,18,19117.48,809.79,0.007231897196261682,20.215972897196263,0.5053345794392523,107,Seasonal Promo - LinkedIn Ads - LATAM - Q4/2023,LinkedIn Ads,LATAM,Seasonal Promo,Developers,Conversions,2023-11-18,2024-03-04,20144.97,Completed,107,188.27,2023Q4,2023,Premium (>15K),0.0424,0.949
CMP-0061,738985,14844,243,11501.25,13573.58,0.018492052631578947,1.0184947368421051,0.5099789473684211,19,Seasonal Promo - TikTok Ads - LATAM - Q4/2024,TikTok Ads,LATAM,Seasonal Promo,SMB Owners,Conversions,2024-12-26,2025-01-14,11183.41,Completed,19,588.6,2024Q4,2024,High (5K-15K),1.1802,1.0284
CMP-0062,152530,2848,25,2140.9,1876.53,0.017212516666666667,0.97819,0.48686999999999997,60,Seasonal Promo - TikTok Ads - APAC - Q1/2024,TikTok Ads,APAC,Seasonal Promo,General B2B,Clicks,2024-03-17,2024-05-16,2214.36,Completed,60,36.91,2024Q1,2024,Medium (1K-5K),0.8765,0.9668
CMP-0063,79581,346,0,734.27,0.0,0.004129141509433962,3.0247415094339622,0.4868396226415095,106,Seasonal Promo - Organic Social - APAC - Q4/2023,Organic Social,APAC,Seasonal Promo,Marketing Managers,Impressions,2023-11-04,2024-02-18,3877.35,Completed,106,36.58,2023Q4,2023,Medium (1K-5K),0.0,0.1894
CMP-0064,70622,297,0,618.32,0.0,0.004015369047619048,2.8280761904761906,0.5144880952380952,84,Product Launch - Organic Social - North America - Q2/2023,Organic Social,North America,Product Launch,General B2B,Conversions,2023-05-11,2023-08-03,1560.02,Completed,84,18.57,2023Q2,2023,Medium (1K-5K),0.0,0.3964
CMP-0065,64202,292,0,650.78,0.0,0.004345532608695652,3.1037565217391303,0.48901304347826086,92,Webinar/Event - Organic Social - APAC - Q3/2024,Organic Social,APAC,Webinar/Event,General B2B,Clicks,2024-08-05,2024-11-05,2361.98,Completed,92,25.67,2024Q3,2024,Medium (1K-5K),0.0,0.2755
CMP-0066,747273,13652,148,14587.27,15736.86,0.017040115942028984,1.3309231884057973,0.487131884057971,69,Retargeting - TikTok Ads - Europe - Q3/2024,TikTok Ads,Europe,Retargeting,Marketing Managers,Clicks,2024-08-16,2024-10-24,15363.21,Completed,69,222.66,2024Q3,2024,Premium (>15K),1.0788,0.9495
CMP-0067,324253,2696,127,34842.08,20432.87,0.007633139240506328,16.630915189873416,0.4970772151898734,79,Product Launch - LinkedIn Ads - North America - Q2/2024,LinkedIn Ads,North America,Product Launch,General B2B,Clicks,2024-04-29,2024-07-17,35903.73,Completed,79,454.48,2024Q2,2024,Premium (>15K),0.5864,0.9704
CMP-0068,58013,1569,12,568.92,1600.98,0.026177632911392402,0.45370886075949374,0.5027202531645569,79,Webinar/Event - Content/SEO - Europe - Q4/2024,Content/SEO,Europe,Webinar/Event,Enterprise Decision Makers,Conversions,2024-11-10,2025-01-28,4802.12,Completed,79,60.79,2024Q4,2024,Medium (1K-5K),2.8141,0.1185
CMP-0069,54764,452,8,7385.8,449.46000000000004,0.007548238095238095,22.448204761904762,0.5145380952380952,42,Lead Generation - LinkedIn Ads - LATAM - Q3/2023,LinkedIn Ads,LATAM,Lead Generation,General B2B,Conversions,2023-07-23,2023-09-03,7398.31,Completed,42,176.15,2023Q3,2023,High (5K-15K),0.0609,0.9983
CMP-0070,500122,18171,797,21791.88,42668.94,0.03426673611111111,1.4243597222222222,0.5211708333333332,72,Product Launch - Google Ads - LATAM - Q1/2024,Google Ads,LATAM,Product Launch,Startup Founders,Impressions,2024-02-29,2024-05-11,22210.35,Completed,72,308.48,2024Q1,2024,Premium (>15K),1.958,0.9812
CMP-0071,197795,3730,21,4014.4700000000003,1452.72,0.017367276923076925,1.4181276923076922,0.49335538461538464,65,Webinar/Event - TikTok Ads - LATAM - Q3/2023,TikTok Ads,LATAM,Webinar/Event,Developers,Sign-ups,2023-09-07,2023-11-11,4115.5,Completed,65,63.32,2023Q3,2023,Medium (1K-5K),0.3619,0.9755
CMP-0072,27549,121,0,252.79,0.0,0.004208361111111111,2.672636111111111,0.4978916666666666,36,Brand Awareness - Organic Social - LATAM - Q4/2024,Organic Social,LATAM,Brand Awareness,Developers,Clicks,2024-12-13,2025-01-18,3956.99,Completed,36,109.92,2024Q4,2024,Medium (1K-5K),0.0,0.0639
CMP-0073,334185,12042,458,16098.72,77266.61,0.033215620689655175,1.7569620689655172,0.49080172413793105,116,Brand Awareness - Google Ads - North America - Q2/2024,Google Ads,North America,Brand Awareness,Developers,Clicks,2024-04-20,2024-08-14,16855.65,Completed,116,145.31,2024Q2,2024,Premium (>15K),4.7995,0.9551
CMP-0074,653343,12114,141,11022.79,21005.4,0.017314191176470588,1.1314014705882354,0.49580588235294115,68,Product Launch - TikTok Ads - North America - Q3/2024,TikTok Ads,North America,Product Launch,Startup Founders,Demo Requests,2024-07-15,2024-09-21,11424.88,Completed,68,168.01,2024Q3,2024,High (5K-15K),1.9056,0.9648
CMP-0075,662353,8339,167,20807.89,20341.46,0.011750172727272728,3.1619854545454547,0.5090045454545454,110,Product Launch - Meta Ads - Europe - Q3/2023,Meta Ads,Europe,Product Launch,Developers,Conversions,2023-09-11,2023-12-30,21076.64,Completed,110,191.61,2023Q3,2023,Premium (>15K),0.9776,0.9872
CMP-0076,39760,301,2,4139.08,316.17999999999995,0.007025489795918368,16.362944897959185,0.5470734693877551,49,Seasonal Promo - LinkedIn Ads - Europe - Q1/2024,LinkedIn Ads,Europe,Seasonal Promo,Developers,Clicks,2024-03-26,2024-05-14,4317.02,Completed,49,88.1,2024Q1,2024,Medium (1K-5K),0.0764,0.9588
CMP-0077,67608,549,23,7258.43,1364.06,0.007485208333333333,17.0415,0.478375,24,Retargeting - LinkedIn Ads - LATAM - Q2/2023,LinkedIn Ads,LATAM,Retargeting,Marketing Managers,Demo Requests,2023-05-22,2023-06-15,7551.63,Completed,24,314.65,2023Q2,2023,High (5K-15K),0.1879,0.9612
CMP-0078,3693947,898759,51709,8593.09,6234075.79,0.2196456119402985,0.012956716417910448,0.5262238805970149,67,Webinar/Event - Email Marketing - Europe - Q1/2024,Email Marketing,Europe,Webinar/Event,SMB Owners,Impressions,2024-02-22,2024-04-29,8606.59,Completed,67,128.46,2024Q1,2024,High (5K-15K),725.4754,0.9984
CMP-0079,7003199,1618128,68197,22990.59,10492684.41,0.21359875892857144,0.018198214285714283,0.4831785714285714,112,Lead Generation - Email Marketing - North America - Q3/2024,Email Marketing,North America,Lead Generation,Developers,Sign-ups,2024-08-21,2024-12-11,23678.52,Completed,112,211.42,2024Q3,2024,Premium (>15K),456.3904,0.9709
CMP-0080,148918,6028,270,7909.18,25804.16,0.035373642857142854,1.8223357142857144,0.4809357142857143,14,Seasonal Promo - Google Ads - Europe - Q4/2023,Google Ads,Europe,Seasonal Promo,Developers,Sign-ups,2023-12-27,2024-01-10,7816.01,Completed,14,558.29,2023Q4,2023,High (5K-15K),3.2626,1.0119
CMP-0081,7134353,1683200,72923,22503.29,8810166.88,0.22005778448275864,0.016530172413793103,0.518503448275862,116,Product Launch - Email Marketing - Europe - Q3/2024,Email Marketing,Europe,Product Launch,Startup Founders,Demo Requests,2024-09-09,2025-01-03,22496.38,Completed,116,193.93,2024Q3,2024,Premium (>15K),391.5057,1.0003
CMP-0082,6112885,1407648,67052,16454.43,3720821.01,0.21435349206349205,0.01512063492063492,0.5156984126984127,63,Product Launch - Email Marketing - LATAM - Q4/2023,Email Marketing,LATAM,Product Launch,Developers,Impressions,2023-12-11,2024-02-12,16887.4,Completed,63,268.05,2023Q4,2023,Premium (>15K),226.1288,0.9744
